Date,Budget ,Week,Week2
2025-12-15,"10,071,338",51,33.2
2025-12-16,"9,368,686",51,33.2
2025-12-17,"9,368,686",51,33.2
2025-12-18,"11,710,858",51,33.2
2025-12-19,"11,710,858",51,33.2
2025-12-20,"18,737,372",51,38.4
2025-12-21,"18,737,372",51,38.4
2025-12-22,"11,757,072",52,33.2
2025-12-23,"11,521,931",52,33.2
2025-12-24,"12,932,780",52,33.2
2025-12-25,"15,401,765",52,33.2
2025-12-26,"11,757,072",52,33.2
2025-12-27,"18,811,316",52,38.4
2025-12-28,"18,811,316",52,38.4
